item_id,gender_enc,occupation_enc,decades_lived_enc,genre_enc,release_decade_enc
79,[1],[4],[3],"[5, 8, 11, 14]",[5]
79,[1],[2],[2],"[5, 8, 11, 14]",[5]
79,[1],[14],[2],"[5, 8, 11, 14]",[5]
79,[1],[5],[3],"[5, 8, 11, 14]",[5]
79,[1],[4],[2],"[5, 8, 11, 14]",[5]
79,[1],[4],[5],"[5, 8, 11, 14]",[5]
79,[1],[20],[2],"[5, 8, 11, 14]",[5]
79,[1],[14],[2],"[5, 8, 11, 14]",[5]
79,[1],[3],[6],"[5, 8, 11, 14]",[5]
79,[1],[3],[4],"[5, 8, 11, 14]",[5]
79,[1],[4],[4],"[5, 8, 11, 14]",[5]
79,[1],[18],[2],"[5, 8, 11, 14]",[5]
79,[0],[3],[4],"[5, 8, 11, 14]",[5]
79,[1],[17],[4],"[5, 8, 11, 14]",[5]
79,[1],[18],[1],"[5, 8, 11, 14]",[5]
79,[0],[10],[2],"[5, 8, 11, 14]",[5]
79,[1],[13],[2],"[5, 8, 11, 14]",[5]
79,[1],[17],[4],"[5, 8, 11, 14]",[5]
79,[1],[5],[2],"[5, 8, 11, 14]",[5]
79,[1],[18],[2],"[5, 8, 11, 14]",[5]
79,[1],[0],[3],"[5, 8, 11, 14]",[5]
79,[1],[11],[3],"[5, 8, 11, 14]",[5]
79,[1],[14],[2],"[5, 8, 11, 14]",[5]
79,[0],[10],[2],"[5, 8, 11, 14]",[5]
79,[1],[18],[2],"[5, 8, 11, 14]",[5]
79,[1],[18],[2],"[5, 8, 11, 14]",[5]
79,[1],[4],[5],"[5, 8, 11, 14]",[5]
79,[0],[10],[2],"[5, 8, 11, 14]",[5]
79,[1],[14],[2],"[5, 8, 11, 14]",[5]
79,[1],[6],[2],"[5, 8, 11, 14]",[5]
79,[1],[9],[5],"[5, 8, 11, 14]",[5]
79,[1],[6],[4],"[5, 8, 11, 14]",[5]
79,[1],[17],[3],"[5, 8, 11, 14]",[5]
79,[1],[13],[5],"[5, 8, 11, 14]",[5]
79,[0],[18],[2],"[5, 8, 11, 14]",[5]
79,[0],[9],[2],"[5, 8, 11, 14]",[5]
79,[1],[14],[4],"[5, 8, 11, 14]",[5]
79,[1],[4],[2],"[5, 8, 11, 14]",[5]
79,[1],[6],[4],"[5, 8, 11, 14]",[5]
79,[0],[3],[2],"[5, 8, 11, 14]",[5]
79,[1],[4],[3],"[5, 8, 11, 14]",[5]
79,[0],[13],[5],"[5, 8, 11, 14]",[5]
79,[0],[10],[5],"[5, 8, 11, 14]",[5]
79,[0],[0],[3],"[5, 8, 11, 14]",[5]
79,[0],[18],[1],"[5, 8, 11, 14]",[5]
79,[1],[0],[3],"[5, 8, 11, 14]",[5]
79,[1],[6],[3],"[5, 8, 11, 14]",[5]
79,[1],[4],[2],"[5, 8, 11, 14]",[5]
79,[1],[0],[2],"[5, 8, 11, 14]",[5]
79,[0],[10],[5],"[5, 8, 11, 14]",[5]
79,[1],[3],[3],"[5, 8, 11, 14]",[5]
79,[0],[3],[2],"[5, 8, 11, 14]",[5]
79,[1],[20],[2],"[5, 8, 11, 14]",[5]
79,[1],[4],[2],"[5, 8, 11, 14]",[5]
79,[1],[16],[3],"[5, 8, 11, 14]",[5]
79,[1],[14],[3],"[5, 8, 11, 14]",[5]
79,[0],[18],[3],"[5, 8, 11, 14]",[5]
79,[0],[18],[1],"[5, 8, 11, 14]",[5]
79,[0],[0],[5],"[5, 8, 11, 14]",[5]
79,[1],[18],[2],"[5, 8, 11, 14]",[5]
79,[1],[0],[4],"[5, 8, 11, 14]",[5]
79,[0],[10],[4],"[5, 8, 11, 14]",[5]
79,[1],[0],[5],"[5, 8, 11, 14]",[5]
79,[1],[17],[3],"[5, 8, 11, 14]",[5]
79,[1],[3],[5],"[5, 8, 11, 14]",[5]
79,[1],[18],[2],"[5, 8, 11, 14]",[5]
79,[1],[5],[1],"[5, 8, 11, 14]",[5]
79,[1],[5],[3],"[5, 8, 11, 14]",[5]
79,[1],[3],[4],"[5, 8, 11, 14]",[5]
79,[1],[10],[3],"[5, 8, 11, 14]",[5]
79,[1],[1],[2],"[5, 8, 11, 14]",[5]
79,[1],[18],[2],"[5, 8, 11, 14]",[5]
79,[1],[9],[3],"[5, 8, 11, 14]",[5]
79,[1],[4],[4],"[5, 8, 11, 14]",[5]
79,[1],[5],[4],"[5, 8, 11, 14]",[5]
79,[0],[10],[2],"[5, 8, 11, 14]",[5]
